	Method	Sample_Type	Sample_Size	Median_Age	Gender	RaceEthnicity 
Gevers_2014	MiSeq	Stool_Biopsy	MoreThan200	BetweenTenTwenty	Less	MostlyCaucasian
Morgan_2012	R454 	Stool_Biopsy	MoreThan200	BetweenThirtyFifty	More	Unknown
Mottawea_2016	HiSeq	Stool_Biopsy	MoreThan200	BetweenTenTwenty	Less	Unknown
Machiels_2014	Other	Stool	MoreThan200	BetweenThirtyFifty	More	Unknown
Frank_2007	RT_PCR	Biopsy	Between101_200	Unknown	Unknown	Unknown
Andoh_2012	Other	Stool	Between101_200	BetweenThirtyFourty	More	Japanese
Santoru_2017	HiSeq	Stool	Between101_200	BetweenThirtyFifty	More	MostlyCaucasian
Pascal_2017	MiSeq	Stool	Between101_200	BetweenThirtyFourty	Less	MostlyCaucasian
Halfvarson_2017	HiSeq	Stool	Between101_200	Unknown	More	MostlyCaucasian
Bajer_2017	MiSeq	Stool	Between50_100	BetweenThirtyFourty	Less	MostlyCaucasian
Schwiertz_2000	RT_PCR	Stool	Between50_100	BetweenTenTwenty	Unknown	Unknown
Papa_2012	Other	Stool	Between50_100	BetweenTenTwenty	Less	Unknown
Jacobs_2016	HiSeq	Stool	Between50_100	BetweenTenTwenty	Less	MostlyCaucasian
Willing_2010	R454 	Stool_Biopsy	Between50_100	BetweenThirtyFifty	More	MostlyCaucasian
Norman_2015	MiSeq	Stool	Between50_100	BetweenThirtyFourty	More	MostlyCaucasian
Duboc_2013	RT_PCR	Stool	Between50_100	BetweenThirtyFourty	Less	Unknown
Kolho_2015	Other	Stool	Between50_100	BetweenTenTwenty	Less	MostlyCaucasian
Tong_2013	HiSeq	Biopsy	Between50_100	BetweenThirtyFifty	Less	Unknown
Wang_2014	RT_PCR	Stool_Biopsy	Between50_100	Unknown	Unknown	Han 
Kabeerdoss_2015	RT_PCR	Biopsy	Between50_100	BetweenThirtyFourty	More	Indian
Eun_2016	R454 	Stool	LessThanFifty	BetweenThirtyFourty	Less	Korean
Forbes_2016	HiSeq	Biopsy	LessThanFifty	Unknown	More	MostlyCaucasian
Kellermayer_2012	R454 	Stool	LessThanFifty	BetweenTenTwenty	More	MostlyCaucasian
Kaakoush_2012	R454 	Biopsy	LessThanFifty	BetweenTenTwenty	Less	Unknown
MartinezMedina_2009	RT_PCR	Biopsy	LessThanFifty	BetweenThirtyFourty	More	Unknown
Hansen_2012	R454 	Biopsy	LessThanFifty	BetweenTenTwenty	Less	Unknown
MartinezMedina_2006	Other	Biopsy	LessThanFifty	BetweenThirtyFourty	More	Unknown
Liguori_2016	MiSeq	Biopsy	LessThanFifty	BetweenThirtyFourty	Less	MostlyCaucasian
Rehman_2010	Other	Biopsy	LessThanFifty	BetweenThirtyFifty	More	Unknown
Walker_2011	R454 	Biopsy	LessThanFifty	BetweenThirtyFifty	Less	Unknown
Baumgart_2017	Other	Biopsy	LessThanFifty	BetweenThirtyFifty	Less	Unknown
Knoll_2017	HiSeq	Stool	LessThanFifty	BetweenTenTwenty	More	Unknown
Gophna_2006	Other	Biopsy	LessThanFifty	Unknown	More	Unknown
Stojanovic_2013	Other	Stool	LessThanFifty	BetweenThirtyFourty	Less	MostlyCaucasian
Seksik_2003	Other	Stool	LessThanFifty	BetweenThirtyFifty	More	Unknown
Erickson_2012	R454 	Stool	LessThanFifty	BetweenFiftySeventy	Less	MostlyCaucasian
Pedamallu_2016	HiSeq	Biopsy	LessThanFifty	Unknown	Unknown	Unknown
Ashton_2017	MiSeq	Stool	LessThanFifty	BetweenTenTwenty	More	MostlyCaucasian
