	Andoh_2012	Ashton_2017	Bajer_2017	Baumgart_2017	MartinezMedina_2006	Rehman_2010	Santoru_2017	Eun_2016	Kabeerdoss_2015	Halfvarson_2017	Forbes_2016	Gevers_2014	Erickson_2012	Kellermayer_2012	Jacobs_2016	Machiels_2014	Liguori_2016	Norman_2015	Mottawea_2016	Pascal_2017	Knoll_2017	Stojanovic_2013	Pedamallu_2016	Morgan_2012	Frank_2007	Willing_2010	Walker_2011	Kaakoush_2012	Duboc_2013	Hansen_2012	Kolho_2015	Schwiertz_2000	Wang_2014	MartinezMedina_2009	Papa_2012	Seksik_2003	Gophna_2006	Tong_2013
Actinobacteria	0	0	0	0	0	0	-1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	-3	0	3	0	0	0	0	2	0	0	0	0	3	0	0	3
Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	2	2	0	0	0	2	0	0	1	0	0	-2	0	0	2	1	0	0	1	0	0	0	0	-3	0	2	0	0	0	0	0	-1	3	0	0	-2	0	-2
Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	-2	0	0	0	-3	0	2	0	0	0	-2	0	0	0	0	0	0	0	0
Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Eggerthella	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteroidetes	2	0	0	0	0	2	-3	-2	0	0	0	-2	0	0	0	0	-2	0	0	0	0	-1	-3	0	-3	0	3	0	0	0	2	2	0	0	0	0	2	0
Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	2	2	2	2	0	2	-3	0	3	0	-1	-1	0	0	0	0	-2	2	3	0	0	-1	0	3	-3	0	0	2	0	0	2	0	0	0	0	-2	2	0
Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	0	0	0	0	0	0	0	0	1	0	-3	-3	0	0	0	0	-2	0	1	-2	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	-3	0	0	0
Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	-2	0	0	0	0	0	-2	-2	1	-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	0	0	0	0	0	0	0	0	0	1	-3	0	0	0	-1	0	0	0	-3	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	-3	0	0	0
Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0
Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0
